code_dec,code_hex,rom_offset,attribute_hex,pin_bank,proportional_start_col,proportional_end_col,proportional_width_units,stored_inverted_columns_hex,active_columns_hex
213,D5,0x219F,8B,top8,0,11,12,F3 CD 3F FD FF FD F3 CF 3F FF FF,0C 32 C0 02 00 02 0C 30 C0 00 00
214,D6,0x21AB,9B,top8,1,11,11,FF 01 FF FB F7 EF DF BF 7F FF FF,00 FE 00 04 08 10 20 40 80 00 00
215,D7,0x21B7,8B,top8,0,11,12,F9 C7 3B F7 EF F7 F9 C7 3F FF FF,06 38 C4 08 10 08 06 38 C0 00 00
216,D8,0x21C3,8B,top8,0,11,12,FD 7B B7 DF E7 DB FD BF 7F FF FF,02 84 48 20 18 24 02 40 80 00 00
217,D9,0x21CF,8B,top8,0,11,12,7F BF D9 E7 FF DF FF BF 7F FF FF,80 40 26 18 00 20 00 40 80 00 00
218,DA,0x21DB,8B,top8,0,11,12,FD FB 75 FF 6D FF 5D BF 7F FF FF,02 04 8A 00 92 00 A2 40 80 00 00
219,DB,0x21E7,9B,top8,1,11,11,FF F9 E7 9D 7F FD 7F FF 7F FF FF,00 06 18 62 80 02 80 00 80 00 00
220,DC,0x21F3,A8,top8,2,8,7,FF FF 3F CF F3 FD FF FF FF FF FF,00 00 C0 30 0C 02 00 00 00 00 00
221,DD,0x21FF,8A,top8,0,10,11,FD FF FD 7F F9 67 9F 7F FF FF FF,02 00 02 80 06 98 60 80 00 00 00
222,DE,0x220B,9A,top8,1,10,10,FF DF FF BF FF 7F BF DF FF FF FF,00 20 00 40 00 80 40 20 00 00 00
223,DF,0x2217,0B,bottom8,0,11,12,FE FF FE FF FE FF FE FF FE FF FF,01 00 01 00 01 00 01 00 01 00 00
224,E0,0x2223,B7,top8,3,7,5,FF FF FF 7F BF FF FF FF FF FF FF,00 00 00 80 40 00 00 00 00 00 00
225,E1,0x222F,8A,top8,0,10,11,FB F5 DF F5 DF F5 DB E5 FF FF FF,04 0A 20 0A 20 0A 24 1A 00 00 00
226,E2,0x223B,8A,top8,0,10,11,F9 E7 1D FF DD FF DB E7 FF FF FF,06 18 E2 00 22 00 24 18 00 00 00
227,E3,0x2247,8A,top8,0,10,11,F3 EF FD DF FD DF FD DF FF FF FF,0C 10 02 20 02 20 02 20 00 00 00
228,E4,0x2253,8B,top8,0,11,12,F3 EF FD DF FD DF F9 C7 3F FF FF,0C 10 02 20 02 20 06 38 C0 00 00
229,E5,0x225F,8A,top8,0,10,11,F3 ED D7 FD D7 FD D7 EF FF FF FF,0C 12 28 02 28 02 28 10 00 00 00
230,E6,0x226B,8B,top8,0,11,12,DF FF D9 E7 9F FF 5F FF 7F FF FF,20 00 26 18 60 00 A0 00 80 00 00
231,E7,0x2277,0A,bottom8,0,10,11,E7 DA FF BA FF B9 E7 9F FF FF FF,18 25 00 45 00 46 18 60 00 00 00
232,E8,0x2283,8A,top8,0,10,11,F9 E7 1F FF DF FF D9 E7 FF FF FF,06 18 E0 00 20 00 26 18 00 00 00
233,E9,0x228F,99,top8,1,9,9,FF FD FF D9 E7 DD 7F FF FF FF FF,00 02 00 26 18 22 80 00 00 00 00
234,EA,0x229B,89,top8,0,9,10,FE FF FE FF D9 E7 5F FF FF FF FF,01 00 01 00 26 18 A0 00 00 00 00
235,EB,0x22A7,8A,top8,0,10,11,F9 E7 9F 77 FB ED FF DF FF FF FF,06 18 60 88 04 12 00 20 00 00 00
236,EC,0x22B3,99,top8,1,9,9,FF FD FF F9 67 9D 7F FF FF FF FF,00 02 00 06 98 62 80 00 00 00 00
237,ED,0x22BF,8A,top8,0,10,11,D9 E7 DF F9 C7 FF D9 E7 FF FF FF,26 18 20 06 38 00 26 18 00 00 00
238,EE,0x22CB,89,top8,0,9,10,D9 E7 DF FF DF F9 E7 FF FF FF FF,26 18 20 00 20 06 18 00 00 00 00
239,EF,0x22D7,8A,top8,0,10,11,F3 ED FF DF FD FF DB E7 FF FF FF,0C 12 00 20 02 00 24 18 00 00 00
240,F0,0x22E3,0A,bottom8,0,10,11,FC E3 9F FB BF FB B7 CF FF FF FF,03 1C 60 04 40 04 48 30 00 00 00
241,F1,0x22EF,0A,bottom8,0,10,11,E7 DB FF BB FF B8 E7 9F FF FF FF,18 24 00 44 00 47 18 60 00 00 00
242,F2,0x22FB,89,top8,0,9,10,F9 C7 FF EF DF FF DF FF FF FF FF,06 38 00 10 20 00 20 00 00 00 00
243,F3,0x2307,8A,top8,0,10,11,FD EF FD D7 FD D7 FB DF FF FF FF,02 10 02 28 02 28 04 20 00 00 00
244,F4,0x2313,9A,top8,1,10,10,FF DF F3 CD 3F DD FF DF FF FF FF,00 20 0C 32 C0 22 00 20 00 00 00
245,F5,0x231F,8A,top8,0,10,11,F3 CD FF FD FF FD F3 CD FF FF FF,0C 32 00 02 00 02 0C 32 00 00 00
246,F6,0x232B,9A,top8,1,10,10,FF C1 FF FB FF F7 EF DF FF FF FF,00 3E 00 04 00 08 10 20 00 00 00
247,F7,0x2337,8B,top8,0,11,12,F1 CF FB FF E7 FB FF F9 C7 FF FF,0E 30 04 00 18 04 00 06 38 00 00
248,F8,0x2343,8B,top8,0,11,12,FD FF DB EF F7 FB ED FF DF FF FF,02 00 24 10 08 04 12 00 20 00 00
249,F9,0x234F,0A,bottom8,0,10,11,BF DE ED FB F7 EF DF BF FF FF FF,40 21 12 04 08 10 20 40 00 00 00
250,FA,0x235B,8B,top8,0,11,12,FD FF D9 FF D5 FF CD FF DF FF FF,02 00 26 00 2A 00 32 00 20 00 00
251,FB,0x2367,9A,top8,1,10,10,FF EF FB E5 9F 7D FF 7F FF FF FF,00 10 04 1A 60 82 00 80 00 00 00
252,FC,0x2373,99,top8,1,9,9,FF FD FB F7 DF BF 7F FF FF FF FF,00 02 04 08 20 40 80 00 00 00 00
253,FD,0x237F,9A,top8,1,10,10,FF FD FF 7D F3 4F BF EF FF FF FF,00 02 00 82 0C B0 40 10 00 00 00
254,FE,0x238B,8B,top8,0,11,12,BF 7F FF 7F BF DF FF DF BF FF FF,40 80 00 80 40 20 00 20 40 00 00
255,FF,0x2397,8B,top8,0,11,12,E5 DB BD F7 6D DF 7B B7 4F FF FF,1A 24 42 08 92 20 84 48 B0 00 00
